"Financial Date","Transaction Date","Account Off.","Account Off. Code","Teller","Reference No.","Account Name","Account No.","Branch","Region","Debit","Credit","Entry Code","Instrument No.","Narration"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"Motor vehicle Expense",50050032,"Head Office","Head Office",8100,,"D203 ",,"fuel for pool car"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"BANK CHARGES",50050007,"Head Office","Head Office",52.5,,"D203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"BANK CHARGES",50050007,"Head Office","Head Office",52.5,,"D203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"BANK CHARGES",50050007,"Head Office","Head Office",52.5,,"D203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"BANK CHARGES",50050007,"Head Office","Head Office",52.5,,"D203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"BANK CHARGES",50050007,"Head Office","Head Office",52.5,,"D203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"BANK CHARGES",50050007,"Head Office","Head Office",52.5,,"D203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"BANK CHARGES",50050007,"Head Office","Head Office",52.5,,"D203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"BANK CHARGES",50050007,"Head Office","Head Office",52.5,,"D203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"BANK CHARGES",50050007,"Head Office","Head Office",52.5,,"D203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"BANK CHARGES",50050007,"Head Office","Head Office",40,,"D203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"LOAN RECOVERY EXPENSES",50050017,"Head Office","Head Office",25000,,"D203 ",,"recovery"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"STERLING BANK REPAYMENT A/C",10430003,"Head Office","Head Office",,3500000,"C203 ",,"transfer to diamond"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",20000,,"D203 ",,"loan repayment-Jolomi OCD Hotel"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",159000,,"D203 ",,"loan repayment-Ibrahim Osuolale"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",3500000,,"D203 ",,"transfer from sterling"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",14000,,"D203 ",,"loan repayment-lwasn Kolawole/amicable"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,19572,"C203 ",,"Eco Bank Cheque return-Omolola"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,19572,"C203 ",,"Eco Bank Cheque return-"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,51000,"C203 ",,"withdrawal from bank-11-9976"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,52.5,"C203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,51000,"C203 ",,"withdrawal from bank-11-461"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,150000,"C203 ",,"withdrawal from bank-11-2472"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,52.5,"C203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,52.5,"C203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,52.5,"C203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,52.5,"C203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,52.5,"C203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,100000,"C203 ",,"withdrawal from bank-11000010815"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,5000,"C203 ",,"call card for recovery"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,25000,"C203 ",,"recovery"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,2412436.27,"C203 ",,"withdrawal from bank-11-12170"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,8100,"C203 ",,"fuel for pool car"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,291666.66,"C203 ",,"monthly car repayment"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,52.5,"C203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,52.5,"C203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,52.5,"C203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"DIAMOND BANK",10430001,"Head Office","Head Office",,40,"C203 ",,"Bank Charge"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"Samuel O Akpokiro",1100009976,"Head Office","Head Office",51000,,"D804 ",,"withdrawal from bank"
"07-Nov-18","11/08/2018 10:13",,,"Dada, Faithful",1811070003,"OMOBA FARM LTD",1100012170,"Head Office","Head Office",2412436.27,,"D203 ",,"withdrawal from bank"
"07-Nov-18","11/07/2018 16:09",,,"Ajogwu, Michael",1811070002,"Akpabio Jennifer Joshua",2970010000000000,"Head Office","Head Office",500000,,"D806 ","2970010000000000","Loan Disbursement info 02970011010000519. Approved on 07-Nov-2018"
"07-Nov-18","11/07/2018 16:09",,,"Ajogwu, Michael",1811070002,"PROCESSING FEE INCOME",40060015,"Head Office","Head Office",,17500,"C403 ","2970010000000000","PROCESSING FEE on 02970012031000519"
"07-Nov-18","11/07/2018 16:09",,,"Ajogwu, Michael",1811070002,"Akpabio Jennifer Joshua",1100005198,"Head Office","Head Office",,500000,"C807 ","2970010000000000","Loan Disbursement approved on 07-Nov-2018"
"07-Nov-18","11/07/2018 16:09",,,"Ajogwu, Michael",1811070002,"Akpabio Jennifer Joshua",1100005198,"Head Office","Head Office",17500,,"D403 ","2970010000000000","PROCESSING FEE on 02970012031000519"
"07-Nov-18","11/07/2018 15:45",,,"Obiora, Marie",1811070001,"OMOBA FARM LTD",1100012170,"Head Office","Head Office",,87500,"C203 ",,"RVSL processing fee on loan"
"07-Nov-18","11/07/2018 15:45",,,"Obiora, Marie",1811070001,"PROCESSING FEE INCOME",40060015,"Head Office","Head Office",87500,,"D203 ",,"RVSL processing fee Omoba Farm"
